Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Marketing Communication & Promotion Manager (Corporate),PT Alam Sutera Realty Tbk,Tangerang,Full time,,"Develop and lead integrated marketing communication strategies to ensure alignment across all property projects (residential, apartment, and other developments).; Establish and implement guidelines, frameworks, and brand standards to be adopted by all project-level marketing teams.; Oversee and supervise the execution of marketing communication activities across projects to ensure consistency in messaging, branding, and campaign quality.; Drive corporate branding initiatives, including digital presence, website development, and social media strategy, ensuring cohesive brand identity across all channels.; Plan and execute strategic marketing campaigns and promotional initiatives that can be scaled and adapted across multiple projects.; Monitor and control marketing budgets, including planning, tracking, and performance analysis of marketing expenditures.; Collaborate with internal teams to develop content and communication materials (digital, social media, website, and other platforms).; Min. Bachelor's Degree in Marketing, Advertising/Media, Mass Communications, Brand Communication or related field; Minimum5–8 years of experiencein Marketing Communication / Branding / Promotion and experience inproperty industry is required; Strong experience in campaign execution, digital marketing, and content development; Ability to coordinate with multiple stakeholders and manage project-level teams; Good analytical thinking and hands-on execution capability; Excellent communication skills(English and Bahasa Indonesia); Work location:Alam Sutera, Tangerang",https://id.jobstreet.com/id/job/91300571?type=standard&ref=search-standalone&origin=cardTitle
Business Relationship Executive (BRE) - Branch Bintaro,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,"Full time, Kontrak/Temporer",,"Mencapai target sesuai dengan KPI yang telah ditentukan.; Menjalankan fungsi marketing untuk mendapatkan leads/prospect dari showroom rekanan.; Menjaga hubungan kerja yang baik dengan showroom dan memastikan proses kerja Dealer Relationship Management (DRM) berjalan dengan baik, sehingga dapat meningkatkan loyalitas dan produktifitas showroom yang sudah bekerja sama.; Melakukan support atas kebutuhan showroom dalam upaya untuk meningkatkan produktifitas showroom yang dihandle.; Berkoordinasi dengan surveyor/Head/Supervisor untuk memastikan leads/prospek yang diperoleh sudah dilakukan proses secara proper.; Berusia maksimal 30 thn.; Pendidikan minimal D3/S1 semua jurusan.; Memiliki pengalaman marketing lebih disukai.; Menyukai pekerjaan lapangan.; Memiliki kendaraan pribadi dan SIM A/C.; Komunikatif dan suka bersosialisasi.; Target-oriented.",https://id.jobstreet.com/id/job/91402666?type=standard&ref=search-standalone&origin=cardTitle
Manager Outlet  (High Volume Restaurant),ANNJOY GROUP,Jakarta Pusat,Kontrak/Temporer,Rp 7.000.000 – Rp 10.000.000 per month,,https://id.jobstreet.com/id/job/91316137?type=standard&ref=search-standalone&origin=cardTitle
Head HRD,STELLA MARIS SCHOOL,Banten,Full time,,"Developing and implementing innovative HR policies, procedures and initiatives to attract, develop and retain top talent; Overseeing the end-to-end employee lifecycle, including recruitment, onboarding, learning and development, performance management and offboarding; Providing expert HR advice and guidance to school leaders and managers on complex employee relations matters; Championing a positive, inclusive and high-performing organisational culture aligned with our core values; Driving continuous improvement in HR service delivery and operational excellence; Leveraging data and people analytics to inform strategic HR decisions; Collaborating with the leadership team to shape the people strategy and enable the school's growth objectives; Substantial experience (8+ years) as a senior HR generalist or business partner in the education or not-for-profit sectors; In-depth knowledge of Indonesian employment law and best practice HR principles; Proven ability to build and lead high-performing HR teams; Excellent communication, influencing and stakeholder management skills; Strong commercial acumen and strategic thinking capabilities; Tertiary qualifications in Human Resources, Business or a related discipline; Experience implementing people-focused initiatives and driving cultural change",https://id.jobstreet.com/id/job/91458013?type=standard&ref=search-standalone&origin=cardTitle
"Finance, Accounting & Tax Leader",Futake Indonesia,Klaten,Kontrak/Temporer,,"Memimpin dan mengkoordinasikan semua kegiatan keuangan, akuntansi, dan perpajakan perusahaan.; Mengawasi proses penyusunan laporan keuangan yang tepat waktu dan akurat.; Memastikan kepatuhan terhadap standar akuntansi dan peraturan perpajakan yang berlaku.; Memberikan analisis dan saran strategis kepada manajemen senior terkait posisi keuangan dan kinerja perusahaan.; Membangun dan mempertahankan hubungan yang kuat dengan pemangku kepentingan internal dan eksternal.; Mengelola dan mengembangkan tim keuangan, akuntansi, dan perpajakan yang efektif.; Memiliki gelar sarjana atau master di bidang Akuntansi, Keuangan, atau disiplin ilmu yang terkait.; Berpengalaman minimal 8 tahun di peran kepemimpinan di bidang keuangan, akuntansi, atau perpajakan.; Memahami prinsip-prinsip akuntansi, standar pelaporan keuangan, dan peraturan perpajakan yang berlaku di Indonesia.; Mahir dalam menggunakan aplikasi akuntansi dan keuangan, seperti Microsoft Excel, ERP, dan software akuntansi lainnya.; Kemampuan analitis yang kuat dan keahlian dalam membuat laporan dan presentasi yang jelas.; Kemampuan kepemimpinan yang terbukti untuk membangun dan memimpin tim yang efektif.; Memiliki integritas tinggi, orientasi pada detail, dan kemampuan bekerja di bawah tekanan.; Paket kompensasi yang kompetitif dan menguntungkan; Akses terhadap program pengembangan profesional dan peluang untuk pertumbuhan karier; Lingkungan kerja yang dinamis dan kolaboratif; Tunjangan asuransi kesehatan yang komprehensif",https://id.jobstreet.com/id/job/91459522?type=standard&ref=search-standalone&origin=cardTitle
Business Development (Life Insurance Company Background),PT GOGOBUY ECOMMERCE INDONESIA,Jakarta Selatan,Full time,Rp 9.500.000 – Rp 14.000.000 per month,"Identify and develop new business opportunities through partnerships and strategic collaborations; Build and maintain strong relationships with corporate partners, clients, and stakeholders; Leverage experience from the insurance industry to explore cross-industry partnerships and revenue opportunities; Prepare business proposals, presentations, and partnership decks; Negotiate commercial terms and manage partnership agreements; Work closely with internal teams (marketing, operations, finance) to execute growth initiatives; Monitor partnership performance and contribute to revenue targets; Minimum 2–4 years of experience inBusiness Development, Sales, or Account Management; Bachelor Degree in any major; Able to communicate in English both verbal and written (MUST); Prior working experience in an insurance company is required; Strong understanding of B2B and B2C sales processes; Excellent communication, negotiation, and relationship-building skills; Target-driven, proactive, and comfortable with partnership and sales activities; Experience working with corporate clients or strategic partners is a strong advantage",https://id.jobstreet.com/id/job/91399943?type=standard&ref=search-standalone&origin=cardTitle
Staff Accounting,PT WIJAYA INTI NUSA SENTOSA,Surabaya,Kontrak/Temporer,,"Mencatat, memverifikasi, dan memproses transaksi keuangan harian dengan teliti dan tepat waktu.; Membantu dalam penyiapan laporan keuangan periodik seperti neraca, laporan laba rugi, dan arus kas.; Melakukan rekonsiliasi akun bank dan buku besar secara teratur.; Menyediakan dukungan akuntansi untuk aktivitas bisnis lainnya sebagaimana diperlukan.; Memelihara catatan dan dokumentasi keuangan dengan rapi dan sesuai standar.; Minimal D3 atau S1 dalam bidang Akuntansi atau Keuangan.; Memiliki pengalaman minimal 2 tahun dalam peran serupa di perusahaan atau industri yang relevan.; Memiliki pengetahuan yang kuat tentang Standar Akuntansi Keuangan (SAK) dan peraturan pajak yang berlaku.; Mahir dalam menggunakan aplikasi akuntansi dan spreadsheet, seperti Microsoft Excel.; Teliti, analitis, dan mampu bekerja di bawah tekanan untuk memenuhi tenggat waktu.; Kemampuan komunikasi yang baik, baik lisan maupun tertulis.; Menjunjung tinggi etika dan integritas dalam mengelola informasi keuangan.",https://id.jobstreet.com/id/job/91550428?type=standard&ref=search-standalone&origin=cardTitle
Ship Mechanic (Mekanik Kapal),PT LIMA SRIKANDI JAYA,Jakarta Raya,Full time,,"Melakukan pemeriksaan berkala dan perawatan preventif pada mesin, peralatan, dan sistem kapal.; Mengidentifikasi dan mendiagnosis masalah teknis, serta melakukan perbaikan dan perawatan yang diperlukan.; Mengikuti protokol keselamatan dan prosedur operasi yang ditetapkan untuk memastikan keamanan awak kapal dan aset perusahaan.; Memelihara catatan dan dokumentasi mengenai pemeliharaan dan perbaikan yang dilakukan.; Berkoordinasi dengan tim operasional lainnya untuk memastikan integrasi yang lancar.; Mengikuti pelatihan dan pengembangan berkelanjutan untuk meningkatkan keterampilan dan pengetahuan teknis.; Pendidikan Minimal SMA / sederajat; Memiliki pengalaman yang baik dalam alignment (teknik perkapalan); Trouble shooting pada engine; Bisa melaksanakan overhaul dan maintenance pada engine kapal; Memahami pemakaian alat-alat ukur untuk sistem propulsi/ propeler; Bersedia ditempatkan di Kalimantan Barat, Kalimantan Utara; Bersedia bergabung secepatnya; Paket kompensasi yang kompetitif, termasuk gaji yang menarik dan tunjangan.; Kesempatan untuk mengembangkan karier dan meningkatkan keterampilan teknis melalui pelatihan dan pengembangan berkelanjutan.; Lingkungan kerja yang mendukung, dengan fokus pada keselamatan, kesejahteraan, dan keberagaman.",https://id.jobstreet.com/id/job/91611353?type=standard&ref=search-standalone&origin=cardTitle
MANAGER OPERATIONAL,PT Panca Mitra Prima Sejahtera,Jakarta Utara,Full time,,"Mengembangkan dan menerapkan strategi operasional yang selaras dengan tujuan bisnis perusahaan; Mengawasi dan mengoptimalkan proses bisnis, prosedur, dan sistem internal untuk meningkatkan efisiensi dan produktivitas; Menganalisis data operasional dan membuat rekomendasi untuk peningkatan berkelanjutan; Mengkoordinasikan dan mengawasi tim operasional, memastikan pelaksanaan tugas dan pencapaian tujuan; Mengidentifikasi peluang untuk meningkatkan kepuasan pelanggan dan memberikan pengalaman layanan prima; Membangun dan mempertahankan hubungan yang kuat dengan pemangku kepentingan internal dan eksternal; Mengelola anggaran operasional dan memastikan penggunaan sumber daya yang efektif; Gelar sarjana di bidang Manajemen, Bisnis, atau disiplin ilmu terkait; Minimal 5 tahun pengalaman dalam peran manajerial operasional di perusahaan retail; Bersedia melakukan perjalanan dinas ke seluruh area.; Pemahaman yang mendalam tentang praktik terbaik dan tren terkini dalam manajemen operasional; Kemampuan analitis yang kuat untuk mengidentifikasi dan menyelesaikan masalah kompleks; Keterampilan kepemimpinan dan kemampuan untuk memimpin dan memotivasi tim; Kemampuan komunikasi yang efektif, baik lisan maupun tertulis, dengan berbagai pemangku kepentingan; Pengetahuan tentang teknologi dan alat yang mendukung efisiensi operasional; Paket kompensasi yang kompetitif, termasuk gaji, tunjangan, dan bonus kinerja; Program pengembangan karier yang komprehensif untuk mendukung pertumbuhan profesional Anda; Lingkungan kerja yang inovatif dan kolaboratif, dengan fokus pada kesejahteraan karyawan; Kesempatan untuk berkontribusi pada pengembangan strategi dan pertumbuhan perusahaan",https://id.jobstreet.com/id/job/91386251?type=standard&ref=search-standalone&origin=cardTitle
Product Development Manager,TRADER2U SDN. BHD.,Jakarta Pusat,Full time,,"Bachelor’s degree in Product Development, Business, Engineering or a related field; a Master’s degree is a plus.; Minimum 5–8 years of experience in product development, innovation, or lifecycle management; Proven experience managing end-to-end product development, from concept ideation and research to launch and post-launch optimization.; Experience conducting market research, consumer insights analysis, and trend forecasting to identify new product opportunities.; Solid knowledge of regulatory requirements, quality standards, and compliance related to wellness or health products.; Ability to collaborate cross-functionally with R&D, marketing, supply chain, quality assurance, and external partners or manufacturers.",https://id.jobstreet.com/id/job/91232152?type=standard&ref=search-standalone&origin=cardTitle
